username, total, <= 100, <= 200, <= 300, <= 400, <= 500, > 500
edu - 928 - 92 - 65 - 78 - 103 - 214 - 376
gabriel88766 - 578 - 135 - 108 - 115 - 91 - 83 - 46
jacksonSouza - 485 - 110 - 110 - 106 - 83 - 45 - 31
otoyaa - 383 - 153 - 107 - 86 - 9 - 0 - 28
pedrolino - 369 - 85 - 69 - 72 - 60 - 60 - 23
fcw - 335 - 46 - 46 - 47 - 48 - 88 - 60
ricaxov - 303 - 48 - 37 - 56 - 74 - 78 - 10
brenner225 - 293 - 48 - 40 - 45 - 45 - 69 - 46
iangz - 263 - 47 - 43 - 46 - 58 - 64 - 5
EYZ - 234 - 15 - 11 - 18 - 69 - 98 - 23
FMota - 231 - 14 - 11 - 19 - 21 - 70 - 96
Ayallaa - 227 - 38 - 33 - 35 - 34 - 56 - 31
cmiki - 223 - 111 - 60 - 34 - 13 - 5 - 0
gustavoleal - 211 - 31 - 30 - 30 - 45 - 52 - 23
Thalisson - 210 - 41 - 38 - 42 - 38 - 39 - 12
fastbee23 - 204 - 70 - 60 - 62 - 12 - 0 - 0
nelsi - 199 - 61 - 44 - 40 - 33 - 20 - 1
KCX - 197 - 51 - 20 - 27 - 27 - 36 - 36
Maxwell01 - 180 - 37 - 33 - 37 - 32 - 35 - 6
almeidaraul - 179 - 34 - 30 - 42 - 33 - 38 - 2
wmrmrx - 178 - 28 - 27 - 27 - 30 - 42 - 24
LipArcanjo - 175 - 31 - 23 - 33 - 30 - 36 - 22
enzo200325 - 172 - 34 - 22 - 27 - 22 - 43 - 24
Tilnoene - 171 - 45 - 32 - 35 - 31 - 26 - 2
Leonardo_Blanger - 170 - 28 - 25 - 29 - 31 - 44 - 13
mralves - 170 - 44 - 41 - 45 - 28 - 12 - 0
gabrielcosta - 165 - 53 - 49 - 39 - 19 - 5 - 0
mateusvrs - 163 - 45 - 40 - 37 - 27 - 13 - 1
rfsousa - 160 - 101 - 31 - 17 - 8 - 1 - 2
Wevton - 156 - 46 - 36 - 37 - 22 - 13 - 2
wvernaschi - 153 - 43 - 33 - 30 - 30 - 14 - 3
